feature,frequency,rank,docfreq,group
arista_j_jive,48,785,48,all
j_jive_detail,48,786,48,all
jive_detail_metaphor,48,787,48,all
detail_metaphor_morn,48,788,48,all
metaphor_morn_ramp,48,789,48,all
good_gave_someth,48,790,48,all
gave_someth_break,48,791,48,all
someth_break_haha,48,792,48,all
head_back_texa,48,793,48,all
school_buse_threaten,48,794,48,all
buse_threaten_california,48,795,48,all
threaten_california_school,48,796,48,all
california_school_district,48,797,48,all
school_district_watch,48,798,48,all
district_watch_kid,48,799,48,all
watch_kid_next,48,800,48,all
kid_next_catch,48,801,48,all
next_catch_new,48,802,48,all
catch_new_show,48,803,48,all
new_show_sunday,48,804,48,all
omg_drive_angri,48,805,48,all
drive_angri_hornet,48,806,48,all
angri_hornet_car,48,807,48,all
hornet_car_scari,48,808,48,all
hate_thing_microsued,48,809,48,all
ta'amu_look_like,48,810,48,all
look_like_beast,48,811,48,all
like_beast_welcom,48,812,48,all
beast_welcom_#steelern,48,813,48,all
welcom_#steelern_alameda,48,814,48,all
live_tweet_dolphin,48,815,48,all
tweet_dolphin_v,48,816,48,all
dolphin_v_patriot,48,817,48,all
v_patriot_game,48,818,48,all
patriot_game_today,48,819,48,all
game_today_follow,48,820,48,all
today_follow_get,48,821,48,all
follow_get_rebecca,48,822,48,all
get_rebecca_bring,48,823,48,all
rebecca_bring_sport,48,824,48,all
bring_sport_updat,48,825,48,all
oh_see_follow,48,826,48,all
see_follow_like,48,827,48,all
follow_like_want,48,828,48,all
meet_fate_becom,48,829,48,all
fate_becom_friend,48,830,48,all
becom_friend_choic,48,831,48,all
