feature,frequency,rank,docfreq,group
florida,286,1082,286,all
guest,286,1083,241,all
legal,286,1084,253,all
spirit,286,1085,180,all
athlet,285,1086,263,all
adam,285,1087,267,all
talent,284,1088,284,all
gotten,284,1089,276,all
doctor,284,1090,279,all
reserv,284,1091,284,all
answer,284,1092,284,all
beyond,284,1093,284,all
ten,284,1094,267,all
blazer,284,1095,209,all
communic,283,1096,282,all
replac,283,1097,256,all
compar,282,1098,282,all
steal,282,1099,282,all
fruit,282,1100,271,all
regul,282,1101,235,all
bottl,282,1102,248,all
honest,281,1103,277,all
theme,281,1104,218,all
basic,281,1105,248,all
cant,281,1106,281,all
smell,281,1107,252,all
mari,281,1108,281,all
adopt,281,1109,260,all
graduat,281,1110,248,all
defend,281,1111,281,all
cash,281,1112,261,all
bay,281,1113,230,all
anyway,280,1114,280,all
app,280,1115,258,all
impact,280,1116,280,all
routin,280,1117,262,all
pro,279,1118,279,all
internet,279,1119,276,all
novel,279,1120,274,all
onto,279,1121,279,all
justic,279,1122,237,all
invest,279,1123,236,all
dri,279,1124,251,all
select,279,1125,279,all
cream,278,1126,216,all
album,278,1127,206,all
china,278,1128,260,all
econom,278,1129,246,all
mad,277,1130,275,all
remov,276,1131,255,all
driver,275,1132,250,all
crew,275,1133,275,all
jeff,275,1134,260,all
huge,275,1135,275,all
drug,275,1136,209,all
previous,275,1137,275,all
mail,274,1138,255,all
most,274,1139,274,all
billion,274,1140,249,all
convers,273,1141,273,all
fell,273,1142,273,all
island,273,1143,239,all
lake,273,1144,261,all
blame,273,1145,229,all
revenu,273,1146,256,all
indic,272,1147,272,all
highway,272,1148,252,all
bird,272,1149,187,all
vehicl,272,1150,269,all
partner,271,1151,199,all
indian,271,1152,226,all
declin,271,1153,271,all
ear,270,1154,194,all
refer,269,1155,269,all
al,269,1156,207,all
approv,268,1157,268,all
flavor,267,1158,227,all
maintain,267,1159,267,all
somewhat,267,1160,267,all
introduc,266,1161,266,all
n,266,1162,265,all
younger,265,1163,213,all
although,265,1164,265,all
engag,264,1165,222,all
closer,264,1166,264,all
cheer,264,1167,250,all
carolina,264,1168,174,all
re,263,1169,262,all
guitar,263,1170,232,all
offens,263,1171,240,all
blow,263,1172,239,all
caught,263,1173,263,all
inc,263,1174,232,all
eventu,263,1175,263,all
reveal,262,1176,262,all
grant,262,1177,261,all
squar,262,1178,243,all
fat,261,1179,221,all
normal,261,1180,248,all
playoff,261,1181,261,all
simpl,261,1182,258,all
ran,261,1183,220,all
exist,261,1184,190,all
attempt,261,1185,259,all
screen,260,1186,238,all
frustrat,260,1187,260,all
ill,260,1188,260,all
incred,260,1189,232,all
financi,260,1190,256,all
artist,259,1191,229,all
denver,259,1192,221,all
cross,259,1193,245,all
solid,258,1194,198,all
moon,257,1195,257,all
lay,257,1196,257,all
advertis,257,1197,212,all
joke,256,1198,256,all
bet,256,1199,224,all
winter,256,1200,256,all
refus,256,1201,256,all
retir,256,1202,213,all
smith,256,1203,206,all
fool,255,1204,212,all
mayor,255,1205,255,all
j,255,1206,255,all
stage,255,1207,255,all
swing,255,1208,205,all
prefer,254,1209,254,all
bull,254,1210,247,all
cat,254,1211,230,all
purchas,254,1212,235,all
particip,254,1213,251,all
gun,254,1214,217,all
safeti,254,1215,233,all
contribut,253,1216,244,all
fri,253,1217,236,all
virginia,253,1218,237,all
